CROP RICE                                                                                                                                                                                                                                                                      YEAR 2021-22,,,,,,,,,,
DISTRICT,AREA (ha.),,,AREA IRRIGATED(ha.),PRODUCTION (MT),,,YIELD (Kg/ha.),,
,Final estimate,Revised final estimate,Average last 5 yrs. Yr ending,,Final estimate,Revised final estimate,Average last 5 yrs. Yr ending,Final estimate,Revised final estimate,Average last 5 yrs. Yr ending
,2021-22,2020-21,2020-21,2021-22,2021-22,2020-21,2020-21,2021-22,2020-21,2020-21
Aimer,4,0,5,0,10,0,12,2500,0,2400
Jaipur,0,0,0,0,0,0,0,0,0,0
Dausa,0,0,0,0,0,0,0,0,0,0
Tonk,0,2,1,0,0,5,3,0,2500,3000
JAIPUR REGION,4,2,6,0,10,5,15,2500,2500,2500
Sikar,0,0,0,0,0,0,0,0,0,0
Jhunjhunu,0,0,0,0,0,0,0,0,0,0
Nagaur,0,1,0,0,0,3,1,0,3000,0
SIKAR REGION,0,1,0,0,0,3,1,0,3000,0
Alwar,44,62,143,44,107,170,335,2432,2742,2343
Bharatpur,1191,1123,1067,919,3307,3267,2668,2777,2909,2500
Dholpur,470,322,475,33,1145,882,1113,2436,2739,2343
S Madhopur,2829,2915,1926,2829,6118,9249,5332,2163,3173,2768
Karoli,2261,1653,1689,1,4890,2419,2573,2163,1463,1523
BHARATPUR REGION,6795,6075,5300,3826,15567,15987,12021,2291,2632,2268
Bikaner,0,0,2,0,0,0,4,0,0,2000
Churu,0,0,0,0,0,0,0,0,0,0
Jaisalmer,0,0,0,0,0,0,0,0,0,0
BIKANER REGION,0,0,2,0,0,0,4,0,0,2000
Ganganagar,8252,10904,11320,8252,22983,39068,33864,2785,3583,2992
Hanumangarh,34451,34846,33825,34451,122149,125806,103355,3546,3610,3056
G.NAGAR REGION,42703,45750,45145,42703,145132,164874,137219,3399,3604,3040
Jodhpur,0,0,0,0,0,0,0,0,0,0
Barmer,0,0,0,0,0,0,0,0,0,0
JODHPUR REGION,0,0,0,0,0,0,0,0,0,0
Jalore,0,0,0,0,0,0,0,0,0,0
Pali,0,0,0,0,0,0,0,0,0,0
Sirohi,0,0,0,0,0,0,1,0,0,0
JALORE REGION,0,0,0,0,0,0,1,0,0,0
Kota,24215,35979,27854,24143,72019,132890,85044,2974,3694,3053
Baran,14535,21723,19209,13917,32797,53245,48967,2256,2451,2549
Bundi,55581,63218,52522,55581,148499,189407,144313,2672,2996,2748
Jhalawan,5289,6161,4996,5129,12246,17305,11286,2315,2809,2259
KOTA REGION,99620,127081,104581,98770,265561,392847,289610,2666,3091,2769
Banswara,26549,27751,28363,0,27937,27594,26139,1052,994,922
Dungarpur,14966,17065,16662,0,15461,20401,18862,1033,1195,1132
Udaipur,3824,4975,4875,0,4099,5536,5262,1072,1113,1079
Pratapgarh,419,676,781,0,1020,1852,1847,2434,2740,2365
UDAIPUR REGION,45758,50467,50681,0,48517,55383,52110,1060,1097,1028
Bhilwara,628,697,557,504,1530,1909,1336,2436,2739,2399
Chittore,943,1381,1141,871,2171,2975,1897,2302,2154,1663
Rajsamand,8,18,26,0,19,49,60,2375,2722,2308
BHILWARA REGION,1579,2096,1724,1375,3720,4933,3293,2356,2354,1910
