DISTRICT,AREA (ha.) Final estimate,AREA (ha.) Revised final estimate,AREA (ha.) Average last 5 yrs. Yr ending,AREA IRRIGATED(ha.),PRODUCTION (MT) Final estimate,PRODUCTION (MT) Revised final estimate,PRODUCTION (MT) Average last 5 yrs. Yr ending,yield,YIELD (Kg/ha.) Revised final estimate,YIELD (Kg/ha.) Average last 5 yrs. Yr ending,pincode
Jaipur,136277,145817,145603,135480,529647,559695,546629,3887,3838,3754,302001
JAIPUR REGION,289109,333182,340296,287626,1142152,1295701,1293845,3951,3889,3802,302002
JAIPUR REGION,289109,333182,340296,287626,1142152,1295701,1293845,3951,3889,3802,302003
JAIPUR REGION,289109,333182,340296,287626,1142152,1295701,1293845,3951,3889,3802,302004
JAIPUR REGION,289109,333182,340296,287626,1142152,1295701,1293845,3951,3889,3802,302005
JAIPUR REGION,289109,333182,340296,287626,1142152,1295701,1293845,3951,3889,3802,302006
JAIPUR REGION,289109,333182,340296,287626,1142152,1295701,1293845,3951,3889,3802,302007
JAIPUR REGION,289109,333182,340296,287626,1142152,1295701,1293845,3951,3889,3802,302008
JAIPUR REGION,289109,333182,340296,287626,1142152,1295701,1293845,3951,3889,3802,302009
JAIPUR REGION,289109,333182,340296,287626,1142152,1295701,1293845,3951,3889,3802,302010
JAIPUR REGION,289109,333182,340296,287626,1142152,1295701,1293845,3951,3889,3802,302011
JAIPUR REGION,289109,333182,340296,287626,1142152,1295701,1293845,3951,3889,3802,302012
JAIPUR REGION,289109,333182,340296,287626,1142152,1295701,1293845,3951,3889,3802,302013
JAIPUR REGION,289109,333182,340296,287626,1142152,1295701,1293845,3951,3889,3802,302014
JAIPUR REGION,289109,333182,340296,287626,1142152,1295701,1293845,3951,3889,3802,302015
JAIPUR REGION,289109,333182,340296,287626,1142152,1295701,1293845,3951,3889,3802,302016
JAIPUR REGION,289109,333182,340296,287626,1142152,1295701,1293845,3951,3889,3802,302017
JAIPUR REGION,289109,333182,340296,287626,1142152,1295701,1293845,3951,3889,3802,302018
JAIPUR REGION,289109,333182,340296,287626,1142152,1295701,1293845,3951,3889,3802,302019
JAIPUR REGION,289109,333182,340296,287626,1142152,1295701,1293845,3951,3889,3802,302020
