CROP WHEAT                                                                                                                                                                                                                                                                     YEAR 2021-22,,,,,,,,,,
DISTRICT,AREA (ha.),,,AREA IRRIGATED(ha.),PRODUCTION (MT),,,YIELD (Kg/ha.),,
,Final estimate,Revised final estimate,Average last 5 yrs. Yr ending,,Final estimate,Revised final estimate,Average last 5 yrs. Yr ending,Final estimate,Revised final estimate,Average last 5 yrs. Yr ending
Jaipur,136277,145817,145603,135480,529647,559695,546629,3887,3838,3754
Dausa,68201,92650,91258,68192,310543,401721,383197,4553,4336,4199
Tonk,37868,44797,51991,37806,146861,159378,187329,3878,3558,3603
JAIPUR REGION,289109,333182,340296,287626,1142152,1295701,1293845,3951,3889,3802
Sikar,79723,84457,86122,79723,287585,283246,303973,3607,3354,3530
Jhunjhunu,74091,74756,79945,74090,289537,284517,320631,3908,3806,4011
Nagaur,45158,57417,59088,43897,130130,163507,161643,2882,2848,2736
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492
Alwar,144470,201390,199065,144469,699995,977129,894951,4845,4852,4496
Bharatpur,90585,134130,143420,90583,418130,631782,642200,4616,4710,4478
Dholpur,42664,57673,61358,41694,201978,265871,274096,4734,4610,4467
S.Madhopur,62570,70357,72816,62548,264839,294039,303882,4233,4179,4173
Karoli,65602,80136,79353,65430,291072,337280,335894,4437,4209,4233
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408
Bikaner,103903,114379,113172,103866,280645,292603,297950,2701,2558,2633
Churu,36656,37809,36490,36500,92175,80490,79238,2515,2129,2171
Jaisalmer,7574,7859,8836,6861,11002,7521,13273,1453,957,1502
BIKANER REGION,148133,160047,158498,147227,383822,380614,390461,2591,2378,2464
Ganganagar,199197,265812,264656,199067,859345,1167584,1127138,4314,4393,4259
Hanumangarh,205773,247470,248222,202478,854844,1065445,1108525,4154,4305,4466
G.NAGAR REGION,404970,513282,512878,401545,1714189,2233029,2235663,4233,4350,4359
Jodhpur,67736,83065,73156,67694,164739,204936,177906,2432,2467,2432
Barmer,11610,14237,15980,11552,17766,22538,25063,1530,1583,1568
JODHPUR REGION,79346,97302,89136,79246,182505,227474,202969,2300,2338,2277
Jalore,34484,47158,48382,34436,83615,110312,106501,2425,2339,2201
Pali,44347,77285,80483,44020,134801,246572,230397,3040,3190,2863
Sirohi,29265,35340,31577,29257,93009,124290,98871,3178,3517,3131
JALORE REGION,108096,159783,160442,107713,311425,481174,435769,2881,3011,2716
Kota,108964,138217,141844,108964,523091,604674,624482,4801,4375,4403
Baran,124484,153218,151974,124484,591306,686769,714088,4750,4482,4699
Bundi,149985,157202,157660,149983,694044,731862,705148,4627,4656,4473
Jhalawar,137321,120032,118633,137321,602774,513457,484563,4390,4278,4085
KOTA REGION,520754,568669,570111,520752,2411215,2536762,2528281,4630,4461,4435
Banswara,124214,111783,98674,123778,326052,296882,244455,2625,2656,2477
Dungarpur,66396,57948,52229,64819,151554,131088,117251,2283,2262,2245
Udaipur,103621,86878,81243,103437,262358,223418,236903,2532,2572,2916
Pratapgarh,100279,79376,73308,100184,415632,311792,283136,4145,3928,3862
UDAIPUR REGION,394510,335985,305454,392218,1155596,963180,881745,2929,2867,2887
Bhilwara,123985,127868,121551,123600,491265,529587,462310,3962,4142,3803
Chittore,137587,148391,155781,137562,632656,657947,674390,4598,4434,4329
Rajsamand,28741,33704,31219,28642,104198,137091,107008,3625,4067,3428
BHILWARA REGION,290313,309963,308551,289804,1228119,1324625,1243708,4230,4273,4031
